sat_config_name,tle_name,norad_id,horizons_id,epoch_tle,t_obs,delta_t_min,incl_deg,raan_deg,ecc,argp_deg,M_deg,mean_motion_rev_per_day,x_sgp4,y_sgp4,z_sgp4,vx_sgp4,vy_sgp4,vz_sgp4,x_true,y_true,z_true,vx_true,vy_true,vz_true,err_x,err_y,err_z,err_vx,err_vy,err_vz,err_norm,horizons_ok,line1,line2
CHANDRA,CXO,25867,-151,2025-11-29T09:28:09.054336+00:00,2025-11-28T09:28:09.054336+00:00,-1440.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,9838.077988208845,-119494.06382583581,74079.28197839744,0.5092123279002578,0.14205761426785862,-0.6658958782199906,9856.526378162824,-119498.16834899582,74059.83829463649,0.5086729284106533,0.142689098660152,-0.6661565232381793,-18.44838995397913,4.104523160014651,19.443683760953718,0.0005393994896045751,-0.0006314843922933799,0.0002606450181886766,27.115439153020372,True,1 25867U 99040B   25333.39454924  .00000722  00000+0  00000+0 0  9995,2 25867  52.7584 123.0489 8164697 310.7158   0.2585  0.37803381 16565
CHANDRA,CXO,25867,-151,2025-11-29T09:28:09.054336+00:00,2025-11-28T09:33:09.054336+00:00,-1435.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,9990.675735900037,-119450.59797320372,73878.95540961853,0.5087889497549688,0.1471691557836199,-0.6690631128830975,10009.064658404699,-119454.59489050003,73859.51610229103,0.5082475778860079,0.14780267517451534,-0.6693247038015102,-18.388922504662332,3.996917296302854,19.439307327498682,0.0005413718689608604,-0.000633519390895454,0.000261590918412713,27.05576626393911,True,1 25867U 99040B   25333.39454924  .00000722  00000+0  00000+0 0  9995,2 25867  52.7584 123.0489 8164697 310.7158   0.2585  0.37803381 16565
CHANDRA,CXO,25867,-151,2025-11-29T09:28:09.054336+00:00,2025-11-28T09:38:09.054336+00:00,-1430.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,10143.145462786304,-119405.59648286167,73677.67783295513,0.5083578354547096,0.15229321038344912,-0.6722306541338277,10161.474174739496,-119409.48548673464,73658.24341201666,0.5078144962618767,0.15292875657234445,-0.6724931855058436,-18.328711953192396,3.8890038729732623,19.434420938472613,0.0005433391928328923,-0.0006355461888953307,0.00026253137201592835,26.99560612768014,True,1 25867U 99040B   25333.39454924  .00000722  00000+0  00000+0 0  9995,2 25867  52.7584 123.0489 8164697 310.7158   0.2585  0.37803381 16565
CHANDRA,CXO,25867,-151,2025-11-29T09:28:09.054336+00:00,2025-11-28T09:43:09.054336+00:00,-1425.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,10295.484840906447,-119359.05557642608,73475.44914919167,0.5079189353415063,0.1574299165825278,-0.6753985453129282,10313.752580330158,-119362.83637176537,73456.02015373479,0.5073736339936856,0.15806748062456175,-0.6756620112127268,-18.267739423710736,3.780795339291217,19.42899545688124,0.0005453013478207147,-0.000637564042033939,0.00026346589979864277,26.934932365122314,True,1 25867U 99040B   25333.39454924  .00000722  00000+0  00000+0 0  9995,2 25867  52.7584 123.0489 8164697 310.7158   0.2585  0.37803381 16565
CHANDRA,CXO,25867,-151,2025-11-29T09:28:09.054336+00:00,2025-11-28T09:48:09.054336+00:00,-1420.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,10447.691527293646,-119310.97143372033,73272.26924610599,0.5074721988753467,0.16257941428694841,-0.6785668297709795,10465.897574252058,-119314.64371913827,73252.84616339345,0.5069249404779533,0.1632189885494251,-0.6788312250612099,-18.206046958412117,3.672285417938838,19.423082712542964,0.0005472583973933354,-0.0006395742624766831,0.0002643952902303681,26.873815659503933,True,1 25867U 99040B   25333.39454924  .00000722  00000+0  00000+0 0  9995,2 25867  52.7584 123.0489 8164697 310.7158   0.2585  0.37803381 16565
CHANDRA,CXO,25867,-151,2025-11-29T09:28:09.054336+00:00,2025-11-28T09:53:09.054336+00:00,-1415.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,10599.763163668807,-119261.34019235698,73068.13799846623,0.5070175746212229,0.16774184481659862,-0.681735550870347,10617.906758571326,-119264.90368570022,73048.72137279194,0.5064683644550748,0.1683834202157501,-0.6820008695001978,-18.14359490251809,3.5634933432447724,19.416625674290117,0.000549210166148062,-0.0006415753991514672,0.000265318629850797,26.81219635482204,True,1 25867U 99040B   25333.39454924  .00000722  00000+0  00000+0 0  9995,2 25867  52.7584 123.0489 8164697 310.7158   0.2585  0.37803381 16565
CHANDRA,CXO,25867,-151,2025-11-29T09:28:09.054336+00:00,2025-11-28T09:58:09.054336+00:00,-1410.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,10751.697376187934,-119210.15794730767,72863.05526802709,0.5065550102357991,0.1729173509287058,-0.6849047519870929,10769.777801569797,-119213.61235937919,72843.64559124291,0.5060038535137821,0.17356091970237258,-0.6851709886961029,-18.08042538186237,3.4544120715145255,19.40967678418383,0.0005511567220169988,-0.0006435687736667806,0.00026623670901004814,26.750145749423552,True,1 25867U 99040B   25333.39454924  .00000722  00000+0  00000+0 0  9995,2 25867  52.7584 123.0489 8164697 310.7158   0.2585  0.37803381 16565
CHANDRA,CXO,25867,-151,2025-11-29T09:28:09.054336+00:00,2025-11-28T10:03:09.054336+00:00,-1405.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,10903.491775136716,-119157.42075047157,72657.02090352523,0.506084452453849,0.1781060768416068,-0.6880744765128641,10921.508274079784,-119160.76581221506,72637.61872497716,0.505531354568362,0.17875162977071082,-0.6883416251276119,-18.016498943068655,3.34506174348644,19.402178548072698,0.000553097885487075,-0.0006455529291040374,0.00026714861474774754,26.68760395098486,True,1 25867U 99040B   25333.39454924  .00000722  00000+0  00000+0 0  9995,2 25867  52.7584 123.0489 8164697 310.7158   0.2585  0.37803381 16565
CHANDRA,CXO,25867,-151,2025-11-29T09:28:09.054336+00:00,2025-11-28T10:08:09.054336+00:00,-1400.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,11055.143954706578,-119103.12461022759,72450.03474067448,0.5056058470742646,0.18330816825930546,-0.6912447678567382,11073.095791907377,-119106.36005226166,72430.6405848278,0.5050508134110819,0.18395569674811402,-0.691512822565223,-17.951837200798764,3.2354420340707293,19.39415584669041,0.000555033663182658,-0.0006475284888085575,0.0002680547084847884,26.62460938766107,True,1 25867U 99040B   25333.39454924  .00000722  00000+0  00000+0 0  9995,2 25867  52.7584 123.0489 8164697 310.7158   0.2585  0.37803381 16565
CHANDRA,CXO,25867,-151,2025-11-29T09:28:09.054336+00:00,2025-11-28T10:13:09.054336+00:00,-1395.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,11206.651492648667,-119047.2654909908,72242.09660216028,0.5051191389459131,0.18852377239598872,-0.6944156694470451,11224.537954519034,-119050.39104277611,72222.71096794316,0.5045621748794971,0.1891732684829291,-0.6946846248012133,-17.886461870366475,3.1255517853132915,19.38563421712024,0.0005569640664160325,-0.000649496086940371,0.0002689553541681544,26.561201143825027,True,1 25867U 99040B   25333.39454924  .00000722  00000+0  00000+0 0  9995,2 25867  52.7584 123.0489 8164697 310.7158   0.2585  0.37803381 16565
