epoch_utc,epoch_jd_tdb,incl_deg,raan_deg,ecc,argp_deg,M_deg,mean_motion_rev_per_day,sgp4_x_km,sgp4_y_km,sgp4_z_km,sgp4_vx_km_s,sgp4_vy_km_s,sgp4_vz_km_s,true_x_km,true_y_km,true_z_km,true_vx_km_s,true_vy_km_s,true_vz_km_s
1999-12-18 20:02:43.714752,2451531.335971045,98.2112,66.9361,0.0026528,147.8117,212.9753,14.64664121,2834.288603395963,6458.735389154009,537.2179744774436,0.7485067372108917,-0.9661910009018753,7.4004072129739935,2779.6484361925377,5993.403450016198,-2531.2887685437017,0.9514578880862072,2.496202895233435,7.00745368936241
1999-12-18 20:02:43.714752,2451531.335971045,98.2112,66.9361,0.0026528,147.8117,212.9753,14.64664121,2834.288603395963,6458.735389154009,537.2179744774436,0.7485067372108917,-0.9661910009018753,7.4004072129739935,2779.648411799227,5993.403386018749,-2531.2889481997727,0.9514579684146852,2.496203068428555,7.007453616225846
1999-12-18 21:40:47.704224,2451531.4040727746,98.2409,67.0263,0.0022049,178.3339,181.7941,14.67352071,2814.831543216315,6463.184309917273,476.2832027983128,0.7839599897907471,-0.8983015845367719,7.409341298183725,2757.9420497451615,5969.022286691559,-2587.6071578248134,0.9861432453312594,2.5619961185414746,6.9838995334478104
1999-12-18 21:40:47.705952,2451531.4040727946,98.2376,67.02,0.0021347,179.6539,180.4627,14.67358484,2815.260951817267,6462.51728169541,475.65248480187944,0.783947566250029,-0.8973025844813026,7.409972018394293,2758.369394279967,5968.084758191818,-2587.9299353443466,27.896641010703576,-56.99105007646615,-14.187052100109405
1999-12-18 23:18:59.390208,2451531.472263585,98.2461,67.1026,0.0021711,178.862,181.2639,14.67363449,2806.1662834152717,6466.663123276075,476.3324953532963,0.7858397536816876,-0.8974611541059313,7.409504905792225,2749.175920954668,5972.170695152633,-2588.9303174674806,0.9874127874261325,2.5631129250822244,6.983599596864938
1999-12-19 04:13:34.436928,2451531.676835885,98.2458,67.3082,0.002173,178.0628,182.0652,14.67352166,2782.9340646835926,6476.739089236163,476.1635594758211,0.7890010904030776,-0.8946589503884267,7.409496446337308,2725.79591350487,5981.161525197765,-2593.0118526853375,0.9888780868156066,2.5663333872845895,6.982180290549424
1999-12-19 05:51:46.143648,2451531.745026935,98.2459,67.377,0.0021747,177.8011,182.328,14.67350895,2775.158260471651,6480.084459503931,476.15713673081416,0.7900592244958279,-0.8937775637819455,7.409483067203923,2717.970635440534,5984.16946558463,-2594.3221526633674,0.9893686884670729,2.567355252590928,6.981722142211424
1999-12-19 12:24:33.279840,2451532.017794715,98.2452,67.6507,0.0021667,176.9762,183.1585,14.67333078,2744.1839872710166,6493.216536437037,476.4104017872025,0.7940475477519506,-0.8904257323061703,7.409517867278218,2686.813657313384,5996.091245214012,-2599.218531326442,0.9911020137285618,2.571321613327915,6.980060636493764
1999-12-19 12:24:33.279840,2451532.017794715,98.2452,67.6507,0.0021667,176.9762,183.1585,14.67333078,2744.1839872710166,6493.216536437037,476.4104017872025,0.7940475477519506,-0.8904257323061703,7.409517867278218,2686.813657313384,5996.091245214012,-2599.218531326442,0.9911020137285618,2.571321613327915,6.980060636493764
1999-12-19 20:35:32.036352,2451532.358752545,98.2455,67.9938,0.0021705,176.0021,184.1364,14.67330712,2705.2484545483157,6509.538407355624,476.35457117807476,0.799317915789321,-0.8858714424826739,7.4095012423655024,2647.63358258726,6010.805197770795,-2605.5651803291785,0.9934737609331546,2.5765120404396353,6.977816411832631
1999-12-20 03:08:18.835584,2451532.6315164254,98.2453,68.2686,0.002183,175.2209,184.9209,14.67340842,2674.000846756338,6522.464620839422,476.3260314332039,0.8034524779953968,-0.8821992688076817,7.409448796557282,2616.193177719567,6022.345833656471,-2610.6895927485516,0.9953902251047302,2.5807605712998773,6.975886477006856
1999-12-20 09:41:05.227872,2451532.904275595,98.2443,68.543,0.0021938,175.3405,184.7917,14.67370473,2642.597991083962,6535.317490419354,475.21140757632264,0.808002225743543,-0.877157286750683,7.409515714514027,2584.5726889804773,6033.369006512729,-2616.6860993704454,0.9976525139328418,2.5862280318325745,6.973500742021975
1999-12-20 11:19:16.978656,2451532.972467155,98.2448,68.6121,0.002196,175.5174,184.6116,14.67362978,2634.702536923104,6538.577002376646,474.9122388114641,0.8092550328439786,-0.8758557837986473,7.409495364526435,2576.7166783947914,6036.353172785549,-2617.599781467056,0.9979898408657679,2.586926037213395,6.972960726064237
1999-12-20 12:57:28.804608,2451533.0406595855,98.2448,68.6808,0.0021975,175.2881,184.8525,14.67365328,2626.9987810774846,6541.573728421024,476.19526240954366,0.8097650467232976,-0.8762295244021764,7.409400069820787,2568.897337974534,6039.434209177018,-2618.2380851688963,0.9982764964105387,2.587468660835685,6.972914778946893
