epoch,train_mae,val_mae,test_mae
1,0.08433083737893564,0.06100783450141389,
2,0.06645747635526475,0.05981621913408128,
3,0.0642389080591911,0.058085450147335085,
4,0.06267790075182626,0.05535962118121588,
5,0.06124480764261743,0.054570041215944234,
6,0.06022111871648859,0.05527607667814679,
7,0.05917308793236802,0.05475536565541087,
8,0.0582812006804733,0.05643702292201352,
9,0.05765561520803245,0.054469011334190756,
10,0.05710859755679585,0.05342887943515313,
11,0.05652451285402517,0.05514963367216369,
12,0.05609041023992928,0.053778524046562234,
13,0.05569707292286267,0.05385715893594887,
14,0.055547727413853464,0.05518067785838838,
15,0.05401854338041651,0.05313417216260141,
16,0.053777243610692964,0.051839117328420406,
17,0.053805414426636326,0.053823956048091724,
18,0.05365154616976245,0.0532979010543415,
19,0.053596053548178334,0.05274234362185781,
20,0.05336555433824511,0.05276239617294704,
21,0.052555227493052005,0.052386530106898296,0.06720079664101074
