epoch,train_mae,val_mae,test_mae
1,0.03617418169770149,0.02567737499359121,
2,0.02496193702372995,0.026027428739750547,
3,0.023489446785148565,0.026324123640213002,
4,0.02251791185322133,0.02515698434579118,
5,0.021927293262756855,0.025771589868093355,
6,0.021331789241539532,0.025942499283520576,
7,0.020903283808982657,0.023660418663821684,
8,0.020516040570211776,0.023043298398631576,
9,0.02029931628130651,0.024202036690966267,
10,0.02001620646607117,0.02896140383745519,
11,0.01984058459476472,0.026762229590432906,
12,0.019641140546550945,0.022291724417544057,
13,0.019540543565070786,0.026178305886526917,
14,0.01937884600811441,0.01989120964704981,
15,0.01932476968459732,0.02320809197583812,
16,0.019114514403595153,0.021722704783785168,
17,0.018908818419647647,0.023002881060204507,
18,0.01882412938449961,0.0258239955827353,
19,0.018119924977796117,0.019574088612408815,
20,0.018068753838164767,0.022556232200103492,
21,0.018065792332982927,0.023992936412364958,
22,0.01802584249250242,0.026219119181653032,
23,0.017990412930187053,0.021669594766289168,
24,0.017652438614143198,0.02214156853513095,0.03281951224372398
