time_utc;tle_index;tle_epoch;dt_since_tle_s;x_sgp4_km;y_sgp4_km;z_sgp4_km;x_horizons_km;y_horizons_km;z_horizons_km;dx_km;dy_km;dz_km;error_norm_km
2025-11-26T05:19:44.164416+00:00;0;2025-11-26T05:19:44.164416+00:00;0.0;-4900.036656170129;-4715.988758588961;11.537513157782287;-5113.753064363928;-4257.405011034211;1407.6613406850354;213.716408193799;-458.5837475547496;-1396.123827527253;1484.9698644895
2025-11-26T05:24:44.164416+00:00;0;2025-11-26T05:19:44.164416+00:00;300.0;-3647.326523831149;-5455.342860720733;1775.8752286343897;-3978.121932736708;-4348.257973116072;3390.1440539720397;330.7954089055588;-1107.0848876046612;-1614.26882533765;1985.176665028233
2025-11-26T05:29:44.164416+00:00;0;2025-11-26T05:19:44.164416+00:00;600.0;-1981.7726178903788;-5577.1877390917325;3338.620429173222;-2392.243134174403;-3947.135344902709;4988.500087890203;410.47051628402437;-1630.0523941890233;-1649.8796587169809;2355.3470531511703
2025-11-26T05:34:44.164416+00:00;0;2025-11-26T05:19:44.164416+00:00;900.0;-91.88282529291241;-5067.705017267409;4522.373977832383;-535.5588307454191;-3099.5747076258062;6021.270596571369;443.6760054525067;-1968.1303096416027;-1498.896618738986;2513.3794753700463
2025-11-26T05:39:44.164416+00:00;0;2025-11-26T05:19:44.164416+00:00;1200.0;1808.4090503355596;-3984.68804924979;5192.8647383285215;1381.7447318482853;-1901.7487089100855;6371.294927690723;426.6643184872744;-2082.9393403397044;-1178.4301893622014;2430.9209052137517
2025-11-26T05:44:44.164416+00:00;0;2025-11-26T05:19:44.164416+00:00;1500.0;3504.045965458454;-2450.750477271053;5274.040673446642;3142.6806997379877;-489.3658881153805;5998.8240986527935;361.36526572046614;-1961.3845891556725;-724.7834252061512;2122.0097491058214
2025-11-26T05:49:44.164416+00:00;0;2025-11-26T05:19:44.164416+00:00;1800.0;4803.008790820632;-639.407273740694;4756.506546569755;4547.890169534271;977.7159790087386;4945.807077335063;255.1186212863613;-1617.1232527494326;-189.30053076530749;1648.0314974107703
2025-11-26T05:54:44.164416+00:00;0;2025-11-26T05:19:44.164416+00:00;2100.0;5557.872667003285;1244.33872614961;3698.6414409903437;5437.994484679398;2333.4123836879025;3331.2035790614086;119.8781823238869;-1089.0736575382925;367.43786192893504;1155.6222533856035
2025-11-26T05:59:44.164416+00:00;0;2025-11-26T05:19:44.164416+00:00;2400.0;5682.622454300543;2986.9869127709435;2220.2799784685935;5711.680758141876;3424.08340429147;1337.8508167711257;-29.058303841333327;-437.09649152052634;882.4291616974679;985.1796553602722
2025-11-26T06:04:44.164416+00:00;0;2025-11-26T05:19:44.164416+00:00;2700.0;5162.807279436807;4390.823657077771;489.3660536911311;5337.543686158669;4126.054623305363;-807.9957626897582;-174.73640672186139;264.76903377240797;1297.3618163808892;1335.5834439232774
