epoch,name,satellite_number,classification,intl_designator_launch_year,intl_designator_launch_number,intl_designator_piece,epoch_year,epoch_day,first_derivative_mean_motion,second_derivative_mean_motion,bstar_drag,ephemeris_type,element_set_number,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_revs_per_day,revolution_number_at_epoch
2025-12-01T09:11:04.540416+00:00,ISS,25544,U,98,67,A,2025,335.38269144,9.617e-05,0.0,0.00018108,0,999,51.631,198.7026,0.0003646,190.255,169.8364,15.49224672,54109
2025-12-01T01:26:38.001984+00:00,ISS,25544,U,98,67,A,2025,335.06016206,9.187e-05,0.0,0.00017339,0,999,51.6309,200.2993,0.0003638,188.9407,171.1518,15.49217814,54104
2025-11-30T20:47:58.000128+00:00,ISS,25544,U,98,67,A,2025,334.86664352,8.45e-05,0.0,0.00016017,0,999,51.6312,201.2569,0.000367,188.2523,171.8406,15.49213294,54101
2025-11-30T13:03:31.260384+00:00,ISS,25544,U,98,67,A,2025,334.54411181,7.982e-05,0.0,0.0001518,0,999,51.6312,202.8529,0.000369,187.0517,173.042,15.49206887,54096
2025-11-30T13:03:31.260384+00:00,ISS,25544,U,98,67,A,2025,334.54411181,7.982e-05,0.0,0.0001518,0,999,51.6312,202.8529,0.000369,187.0517,173.042,15.49206888,54096
2025-11-30T09:57:44.551008+00:00,ISS,25544,U,98,67,A,2025,334.41509897,7.725e-05,0.0,0.00014718,0,999,51.6312,203.4912,0.0003703,186.533,173.561,15.49203939,54094
2025-11-29T21:34:37.466400+00:00,ISS,25544,U,98,67,A,2025,333.89904475,8.908e-05,0.0,0.00016851,0,999,51.6312,206.0453,0.0003727,184.4038,175.6918,15.49196254,54086
2025-11-29T20:01:44.058144+00:00,ISS,25544,U,98,67,A,2025,333.83453771,8.01e-05,0.0,0.00015237,0,999,51.6312,206.3646,0.0003723,184.1118,175.984,15.49193835,54085
2025-11-29T09:11:30.133824+00:00,ISS,25544,U,98,67,A,2025,333.38298766,8.498e-05,0.0,0.00016119,0,999,51.6313,208.5995,0.0003728,182.4168,177.6803,15.49185591,54078
2025-11-29T02:59:56.376384+00:00,ISS,25544,U,98,67,A,2025,333.12495806,8.872e-05,0.0,0.00016795000000000002,0,999,51.6312,209.8765,0.0003737,181.3383,178.7596,15.49180644,54074
2025-11-28T22:21:16.003872+00:00,ISS,25544,U,98,67,A,2025,332.93143523,9.407e-05,0.0,0.00017759,0,999,51.6312,210.8341,0.0003738,180.7008,179.3975,15.4917737,54071
2025-11-28T13:03:55.135296+00:00,ISS,25544,U,98,67,A,2025,332.54438814,8.991e-05,0.0,0.00017015000000000002,0,999,51.6312,212.7497,0.0003745,179.2752,180.8242,15.49168962,54065
2025-11-27T21:34:59.940768+00:00,ISS,25544,U,98,67,A,2025,331.89930487,4.025e-05,0.0,8.0753e-05,0,999,51.6314,215.9428,0.0003868,177.5993,182.5015,15.49155559,54055
2025-11-27T21:34:59.939904+00:00,ISS,25544,U,98,67,A,2025,331.89930486,4.025e-05,0.0,8.0753e-05,0,999,51.6314,215.9428,0.0003868,177.5993,182.5015,15.49155559,54055
2025-11-27T04:33:10.200096+00:00,ISS,25544,U,98,67,A,2025,331.18970139,9.924e-05,0.0,0.00018731000000000002,0,999,51.6312,219.4533,0.0003813,172.8713,187.233,15.49112807,54044
2025-11-26T22:21:35.365248+00:00,ISS,25544,U,98,67,A,2025,330.93165932,0.00010582,0.0,0.00019922,0,999,51.6311,220.7305,0.0003812,172.0243,188.0807,15.491078,54040
2025-11-26T22:21:35.365248+00:00,ISS,25544,U,98,67,A,2025,330.93165932,0.00010582,0.0,0.00019922,0,999,51.6311,220.7305,0.0003812,172.0243,188.0807,15.491078,54040
2025-11-26T17:42:54.183168+00:00,ISS,25544,U,98,67,A,2025,330.73812712,0.00011313,0.0,0.00021242,0,999,51.6309,221.6882,0.0003815,171.0984,189.0072,15.49104478,54037
2025-11-26T09:58:25.455360+00:00,ISS,25544,U,98,67,A,2025,330.4155724,0.00010951,0.0,0.00020595,0,999,51.6311,223.2842,0.0003817,170.1107,189.9957,15.4909624,54032
2025-11-26T05:19:44.164416+00:00,ISS,25544,U,98,67,A,2025,330.22203894,0.00010829,0.0,0.00020376999999999998,0,999,51.6311,224.2419,0.000382,169.346,190.761,15.49091452,54029
